                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3982,                 7.2572,                 4.2837,                0.00221,                0.16575,                0.00162,                0.00052,                 3.3316,                 7.1673,                 4.1046,               0.070297,              0.0033003,              0.0033003
                      2,                 3.2077,                 6.4671,                  3.966,                0.01256,                0.19286,                0.00849,                0.00334,                 2.9475,                    inf,                 5.1852,               0.040297,              0.0066335,              0.0066335
                      3,                  2.783,                 5.7102,                 3.4224,                0.12376,                0.24968,                0.09376,                0.03736,                 2.6763,                  44.68,                 3.9513,               0.010296,              0.0099659,              0.0099659
                      4,                 2.5049,                 5.1144,                  3.009,                0.26861,                 0.3775,                0.23845,                 0.1147,                 2.0508,                 5.9027,                 3.0204,              0.0099976,              0.0099976,              0.0099976
                      5,                  2.285,                 4.5029,                 2.7226,                0.36614,                0.37509,                0.29991,                0.14106,                  1.987,                 5.7061,                 2.7293,              0.0099957,              0.0099957,              0.0099957
                      6,                 2.1063,                 3.9508,                 2.4912,                0.54857,                0.54392,                0.53703,                0.28937,                 1.7458,                   3.87,                 2.4331,              0.0099932,              0.0099932,              0.0099932
                      7,                 1.9082,                 3.4008,                 2.2503,                0.62711,                0.54393,                 0.5861,                0.35165,                 1.6014,                  3.156,                  2.204,              0.0099902,              0.0099902,              0.0099902
                      8,                 1.7946,                 3.1339,                  2.177,                0.43455,                0.51942,                0.48316,                0.29693,                 1.5385,                 3.8196,                 2.0865,              0.0099867,              0.0099867,              0.0099867
                      9,                 1.6726,                 2.8137,                 2.0511,                0.76312,                0.72984,                0.78161,                0.47718,                 1.5101,                 2.9172,                 2.0245,              0.0099826,              0.0099826,              0.0099826
                     10,                 1.5682,                 2.5081,                 1.9421,                0.73017,                0.73812,                0.81013,                0.56637,                 1.3339,                 2.4952,                 1.8883,               0.009978,               0.009978,               0.009978
                     11,                 1.4065,                 2.2844,                 1.8042,                0.84279,                0.85385,                0.86394,                0.63883,                  1.172,                 2.3644,                 1.7088,              0.0099729,              0.0099729,              0.0099729
                     12,                 1.3038,                 2.0595,                 1.7051,                0.79597,                0.65293,                0.76055,                0.55083,                 1.3021,                 4.1799,                 1.8685,              0.0099672,              0.0099672,              0.0099672
                     13,                 1.2578,                 1.9878,                 1.6579,                0.92605,                0.83197,                0.92456,                0.71678,                0.95562,                 1.7282,                 1.4571,               0.009961,               0.009961,               0.009961
                     14,                 1.1976,                 1.8266,                  1.582,                0.92467,                0.88649,                0.94276,                0.71893,                 1.0564,                 1.4874,                 1.5557,              0.0099542,              0.0099542,              0.0099542
